BADA MAXIMUM RANGE CRUISE FILE                                   Apr 01 2014

Type: PROP
AC: Dummy-TBP
Engine rating: 
Number of tables: 1

Table name: MRC
Table type: 1D
Table variables: CW
Table dimension: 21x1
Table results: Mmrc [-]

        CW|      Mmrc
=====================
  0.907484|  0.251798
  0.991117|  0.262473
  1.074750|  0.271544
  1.158384|  0.279462
  1.242017|  0.286534
  1.325650|  0.292972
  1.409283|  0.298929
  1.492917|  0.304514
  1.576550|  0.309810
  1.660183|  0.314881
  1.743817|  0.319776
  1.827450|  0.324537
  1.911083|  0.329197
  1.994717|  0.333785
  2.078350|  0.338326
  2.161983|  0.342840
  2.245616|  0.347348
  2.329250|  0.351868
  2.412883|  0.356416
  2.496516|  0.361009
  2.580150|  0.365663


