space,time,day,poi,type,root_type,rating,weather,tid,label
40.7509455224884 -74.0056339217607,855,Tuesday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clear,11031,390
40.7509455224884 -74.0056339217607,651,Wednesday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clear,11031,390
40.7483948906801 -74.0017604827881,763,Wednesday,Chelsea Recreation Center,Gym,Outdoors & Recreation,8.0,Clear,11031,390
40.7509455224884 -74.0056339217607,864,Wednesday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clear,11031,390
40.6764188612496 -73.9589171011043,1177,Wednesday,480 St Marks Avenue,Residential Building (Apartment / Condo),Residence,-1.0,Clear,11031,390
40.7509455224884 -74.0056339217607,474,Thursday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clear,11031,390
40.7509455224884 -74.0056339217607,674,Friday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clear,11031,390
40.7564573646771 -73.8460636138916,800,Saturday,Citi Field,Baseball Stadium,Arts & Entertainment,9.3,Clear,11031,390
40.7552545576221 -73.8461494445801,801,Saturday,Home Run Apple,Monument / Landmark,Professional & Other Places,7.1,Clear,11031,390
40.7560347592727 -73.8462352752686,997,Saturday,Foxwoods Club,Lounge,Nightlife Spot,7.7,Clear,11031,390
40.7044364120259 -74.0101236104965,1154,Saturday,Ulysses Folk House,Bar,Nightlife Spot,7.9,Clouds,11031,390
40.6716389935202 -73.9638120218084,1288,Saturday,Brooklyn Museum,Art Museum,Arts & Entertainment,9.5,Clouds,11031,390
40.6708575199332 -73.9633512496948,1289,Saturday,Target First Saturday's @ the Brooklyn Museum,Other Event,Event,-1.0,Clouds,11031,390
40.7075550000000 -74.0070660000000,856,Sunday,Harry's Italian Pizza Bar,Italian Restaurant,Food,8.3,Clear,11031,390
40.7082260000000 -74.0049740000000,948,Sunday,Ryan Maguire's Ale House,Bar,Nightlife Spot,7.4,Clear,11031,390
40.7509455224884 -74.0056339217607,522,Monday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clear,11032,390
40.7478900000000 -74.0044660000000,826,Monday,The Half King,Bar,Nightlife Spot,7.2,Clear,11032,390
40.7509455224884 -74.0056339217607,909,Monday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clouds,11032,390
40.6765804521340 -73.9589572801471,1063,Monday,480 St Marks Avenue,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,11032,390
40.7509455224884 -74.0056339217607,537,Tuesday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clouds,11032,390
40.6765804521340 -73.9589572801471,1297,Tuesday,480 St Marks Avenue,Residential Building (Apartment / Condo),Residence,-1.0,Clear,11032,390
40.6752760900784 -73.9633252661851,850,Wednesday,Elegant Dominican Barbershop,Salon / Barbershop,Shop & Service,-1.0,Clouds,11032,390
40.6765804521340 -73.9589572801471,583,Thursday,480 St Marks Avenue,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,11032,390
40.7509455224884 -74.0056339217607,835,Thursday,Harry Fox Agency,Office,Professional & Other Places,-1.0,Clouds,11032,390
40.7397441182157 -73.9949637651443,1058,Thursday,Old Navy,Clothing Store,Shop & Service,7.0,Clouds,11032,390
40.6765804521340 -73.9589572801471,274,Friday,480 St Marks Avenue,Residential Building (Apartment / Condo),Residence,-1.0,Clear,11032,390
40.6896849354109 -74.1793870925903,310,Friday,Newark Liberty International Airport (EWR) (Newark Liberty International Airport),Airport,Travel & Transport,5.6,Clear,11032,390
40.6864958770039 -74.1825199127197,355,Friday,Terminal A,Airport Terminal,Travel & Transport,-1.0,Clear,11032,390
40.6871133035460 -74.1855984992603,369,Friday,Boar's Head,Sandwich Place,Food,5.1,Clear,11032,390
40.6872570548420 -74.1849171370268,394,Friday,Gate A10,Airport Gate,Travel & Transport,-1.0,Clear,11032,390
40.6896849354109 -74.1793870925903,1378,Tuesday,Newark Liberty International Airport (EWR) (Newark Liberty International Airport),Airport,Travel & Transport,5.6,Clear,11033,390
40.6752760900784 -73.9633252661851,638,Wednesday,Elegant Dominican Barbershop,Salon / Barbershop,Shop & Service,-1.0,Clear,11033,390
40.6745466802864 -73.9632162112330,845,Wednesday,Tom's Restaurant,Diner,Food,8.7,Clouds,11033,390
40.6720610000000 -73.9773696166667,868,Wednesday,The Clay Pot,Gift Shop,Shop & Service,6.8,Clouds,11033,390
40.7084901219430 -74.0028335286175,931,Wednesday,Southbridge Towers - Building 6,Building,Professional & Other Places,-1.0,Clouds,11033,390
40.6773183473397 -73.9797234535217,953,Thursday,Dr Brendan Mac Repair - Park Slope,Electronics Store,Shop & Service,-1.0,Clear,11033,390
40.6807490000000 -73.9748960000000,966,Thursday,Bergen Bagels,Bagel Shop,Food,8.9,Clear,11033,390
40.7420000000000 -73.9933780000000,1048,Thursday,McDonald's,Fast Food Restaurant,Food,5.0,Clear,11033,390
40.6785150000000 -73.9684270000000,1210,Saturday,Ample Hills Creamery,Ice Cream Shop,Food,9.6,Clear,11033,390
40.6723072929569 -73.9578437435796,1350,Saturday,Franklin Park,Bar,Nightlife Spot,8.9,Clouds,11033,390
40.6765804521340 -73.9589572801471,1125,Sunday,480 St Marks Avenue,Residential Building (Apartment / Condo),Residence,-1.0,Rain,11033,390
