space,time,day,poi,type,root_type,rating,weather,tid,label
40.7791260657055 -73.9549048945782,1087,Tuesday,Shake Shack,Burger Joint,Food,9.0,Clear,10370,365
40.7722274447236 -73.9830287606413,1316,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10370,365
40.8099115228134 -74.0678501129150,535,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10370,365
40.7700737995874 -73.9845266716932,603,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Clear,10370,365
40.8099115228134 -74.0678501129150,651,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10370,365
40.7765278976882 -73.9794073259115,741,Saturday,Lansky's Deli,Diner,Food,-1.0,Clear,10370,365
40.7743825794295 -73.9828623253591,840,Saturday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clear,10370,365
40.7722274447236 -73.9830287606413,1010,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10370,365
40.7782512903214 -73.9819680000000,1182,Saturday,Gigi Cafe,Deli / Bodega,Food,7.7,Clear,10370,365
40.7798980033668 -73.9815021419594,1209,Saturday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10370,365
40.8099115228134 -74.0678501129150,639,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10370,365
40.7722274447236 -73.9830287606413,847,Sunday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10370,365
40.8099115228134 -74.0678501129150,540,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10371,365
40.7704034237248 -73.9827819772402,716,Monday,New York Sports Clubs,Gym,Outdoors & Recreation,6.8,Clear,10371,365
40.7722274447236 -73.9830287606413,886,Monday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10371,365
40.7742150000000 -73.9811760000000,958,Monday,Starbucks,Coffee Shop,Food,-1.0,Clouds,10371,365
40.7344877193562 -73.9903919427451,1149,Monday,Yogo Truck,Food Truck,Food,5.9,Clouds,10371,365
40.7623774453713 -73.9746207290759,1323,Monday,Instagrampocalypse,Dive Bar,Nightlife Spot,-1.0,Clouds,10371,365
40.8099115228134 -74.0678501129150,443,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10371,365
40.7743825794295 -73.9828623253591,768,Tuesday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clouds,10371,365
40.7692250000000 -73.9861540000000,1151,Tuesday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clouds,10371,365
40.7700737995874 -73.9845266716932,601,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Clouds,10371,365
40.7729603860463 -73.9815480554801,923,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10371,365
40.7779346959133 -73.9818464930973,1156,Wednesday,Tasty Cafe,Coffee,Food,6.9,Clouds,10371,365
40.7722274447236 -73.9830287606413,1422,Wednesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10371,365
40.7729603860463 -73.9815480554801,1069,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10371,365
40.8099115228134 -74.0678501129150,653,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10371,365
40.7722274447236 -73.9830287606413,885,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10371,365
40.7729603860463 -73.9815480554801,921,Friday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10371,365
40.7681940000000 -73.9853010000000,1143,Friday,Burrito Box,Burrito Place,Food,8.9,Clear,10371,365
40.7722274447236 -73.9830287606413,1222,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10371,365
40.7751640000000 -73.9806240000000,1246,Saturday,Bomboloni,Donut Shop,Food,-1.0,Clouds,10371,365
40.8099115228134 -74.0678501129150,702,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10371,365
40.8099115228134 -74.0678501129150,530,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7702574642519 -73.9844578024757,605,Monday,Fordham University - Lincoln Center,University,College & University,-1.0,Clear,10372,365
40.7692250000000 -73.9861540000000,1041,Monday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clear,10372,365
40.8099115228134 -74.0678501129150,556,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7722274447236 -73.9830287606413,777,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10372,365
40.7743825794295 -73.9828623253591,897,Tuesday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clear,10372,365
40.7729603860463 -73.9815480554801,911,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10372,365
40.8099115228134 -74.0678501129150,530,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7702574642519 -73.9844578024757,603,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Clear,10372,365
40.7729603860463 -73.9815480554801,920,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10372,365
40.8099115228134 -74.0678501129150,572,Thursday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7729603860463 -73.9815480554801,1071,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10372,365
40.7722274447236 -73.9830287606413,1420,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10372,365
40.8099115228134 -74.0678501129150,684,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7652638487491 -73.9875454147917,778,Saturday,Eatery,New American Restaurant,Food,-1.0,Clear,10372,365
40.7751875989557 -73.9806470006316,1262,Saturday,Vive La Crêpe,French Restaurant,Food,8.0,Clear,10372,365
40.8099115228134 -74.0678501129150,345,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7742150000000 -73.9811760000000,407,Sunday,Starbucks,Coffee Shop,Food,-1.0,Clear,10372,365
40.7729603860463 -73.9815480554801,415,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10372,365
40.7765278976882 -73.9794073259115,766,Sunday,Lansky's Deli,Diner,Food,-1.0,Rain,10372,365
40.7750827819138 -73.9808019594095,1137,Sunday,Jalapeño,Mexican Restaurant,Food,-1.0,Rain,10372,365
40.8099115228134 -74.0678501129150,543,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.7705671120193 -73.9847562355731,605,Monday,Fordham University - Lincoln Center,University,College & University,-1.0,Clouds,10373,365
40.7744550988244 -73.9831091086570,1224,Monday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clouds,10373,365
40.8099115228134 -74.0678501129150,628,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10373,365
40.8099115228134 -74.0678501129150,532,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.7705671120193 -73.9847562355731,599,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Clouds,10373,365
40.7729603860463 -73.9815480554801,923,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10373,365
40.7722274447236 -73.9830287606413,674,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10373,365
40.8099115228134 -74.0678501129150,674,Thursday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.8099115228134 -74.0678501129150,642,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.7722274447236 -73.9830287606413,871,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10373,365
40.7729603860463 -73.9815480554801,923,Friday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10373,365
40.8099115228134 -74.0678501129150,718,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10373,365
40.7711420000000 -73.9834640000000,803,Saturday,Rosa Mexicano,Mexican Restaurant,Food,8.7,Clear,10373,365
40.7778901257941 -73.9821965827883,1026,Saturday,AT&T,Mobile Phone Shop,Shop & Service,6.5,Clear,10373,365
40.7722274447236 -73.9830287606413,1369,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10373,365
40.8099115228134 -74.0678501129150,352,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10373,365
40.7742150000000 -73.9811760000000,403,Sunday,Starbucks,Coffee Shop,Food,-1.0,Clear,10373,365
40.7729603860463 -73.9815480554801,410,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10373,365
40.7765278976882 -73.9794073259115,953,Sunday,Lansky's Deli,Diner,Food,-1.0,Clear,10373,365
40.7798980033668 -73.9815021419594,1009,Sunday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10373,365
40.7722274447236 -73.9830287606413,48,Monday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10375,365
40.8099115228134 -74.0678501129150,697,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10375,365
40.7722274447236 -73.9830287606413,917,Monday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10375,365
40.7729603860463 -73.9815480554801,924,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10375,365
40.8099115228134 -74.0678501129150,696,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10375,365
40.7729603860463 -73.9815480554801,925,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10375,365
40.7818560000000 -73.9792270000000,1163,Tuesday,Chirping Chicken,Comfort Food Restaurant,Food,7.8,Clouds,10375,365
40.8099115228134 -74.0678501129150,497,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Rain,10375,365
40.7701678499297 -73.9844463242704,558,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Rain,10375,365
40.7783098167083 -73.9781389467442,1190,Wednesday,Tenzan,Japanese Restaurant,Food,7.6,Clouds,10375,365
40.7722274447236 -73.9830287606413,49,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10375,365
40.7692250000000 -73.9861540000000,862,Friday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clouds,10375,365
40.7722274447236 -73.9830287606413,1321,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10375,365
40.8099115228134 -74.0678501129150,681,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10375,365
40.7765278976882 -73.9794073259115,793,Saturday,Lansky's Deli,Diner,Food,-1.0,Clear,10375,365
40.7692250000000 -73.9861540000000,930,Saturday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clear,10375,365
40.7805688922377 -73.9764745451004,1083,Saturday,Isabella's,Mediterranean Restaurant,Food,-1.0,Clear,10375,365
40.7798980033668 -73.9815021419594,1200,Saturday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10375,365
40.7722819044156 -73.9831148477997,1280,Saturday,L'Arte Del Gelato,Ice Cream Shop,Food,7.1,Clear,10375,365
40.8099115228134 -74.0678501129150,637,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10375,365
