space,time,day,poi,type,root_type,rating,weather,tid,label
40.7791260657055 -73.9549048945782,1087,Tuesday,Shake Shack,Burger Joint,Food,9.0,Clear,10370,365
40.7722274447236 -73.9830287606413,1316,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10370,365
40.8099115228134 -74.0678501129150,535,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10370,365
40.7700737995874 -73.9845266716932,603,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Clear,10370,365
40.8099115228134 -74.0678501129150,651,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10370,365
40.7765278976882 -73.9794073259115,741,Saturday,Lansky's Deli,Diner,Food,-1.0,Clear,10370,365
40.7743825794295 -73.9828623253591,840,Saturday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clear,10370,365
40.7722274447236 -73.9830287606413,1010,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10370,365
40.7782512903214 -73.9819680000000,1182,Saturday,Gigi Cafe,Deli / Bodega,Food,7.7,Clear,10370,365
40.7798980033668 -73.9815021419594,1209,Saturday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10370,365
40.8099115228134 -74.0678501129150,639,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10370,365
40.7722274447236 -73.9830287606413,847,Sunday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10370,365
40.8099115228134 -74.0678501129150,530,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7702574642519 -73.9844578024757,605,Monday,Fordham University - Lincoln Center,University,College & University,-1.0,Clear,10372,365
40.7692250000000 -73.9861540000000,1041,Monday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clear,10372,365
40.8099115228134 -74.0678501129150,556,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7722274447236 -73.9830287606413,777,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10372,365
40.7743825794295 -73.9828623253591,897,Tuesday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clear,10372,365
40.7729603860463 -73.9815480554801,911,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10372,365
40.8099115228134 -74.0678501129150,530,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7702574642519 -73.9844578024757,603,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Clear,10372,365
40.7729603860463 -73.9815480554801,920,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10372,365
40.8099115228134 -74.0678501129150,572,Thursday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7729603860463 -73.9815480554801,1071,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10372,365
40.7722274447236 -73.9830287606413,1420,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10372,365
40.8099115228134 -74.0678501129150,684,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7652638487491 -73.9875454147917,778,Saturday,Eatery,New American Restaurant,Food,-1.0,Clear,10372,365
40.7751875989557 -73.9806470006316,1262,Saturday,Vive La Crêpe,French Restaurant,Food,8.0,Clear,10372,365
40.8099115228134 -74.0678501129150,345,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10372,365
40.7742150000000 -73.9811760000000,407,Sunday,Starbucks,Coffee Shop,Food,-1.0,Clear,10372,365
40.7729603860463 -73.9815480554801,415,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10372,365
40.7765278976882 -73.9794073259115,766,Sunday,Lansky's Deli,Diner,Food,-1.0,Rain,10372,365
40.7750827819138 -73.9808019594095,1137,Sunday,Jalapeño,Mexican Restaurant,Food,-1.0,Rain,10372,365
40.8099115228134 -74.0678501129150,543,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.7705671120193 -73.9847562355731,605,Monday,Fordham University - Lincoln Center,University,College & University,-1.0,Clouds,10373,365
40.7744550988244 -73.9831091086570,1224,Monday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clouds,10373,365
40.8099115228134 -74.0678501129150,628,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10373,365
40.8099115228134 -74.0678501129150,532,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.7705671120193 -73.9847562355731,599,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Clouds,10373,365
40.7729603860463 -73.9815480554801,923,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10373,365
40.7722274447236 -73.9830287606413,674,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10373,365
40.8099115228134 -74.0678501129150,674,Thursday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.8099115228134 -74.0678501129150,642,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10373,365
40.7722274447236 -73.9830287606413,871,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10373,365
40.7729603860463 -73.9815480554801,923,Friday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10373,365
40.8099115228134 -74.0678501129150,718,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10373,365
40.7711420000000 -73.9834640000000,803,Saturday,Rosa Mexicano,Mexican Restaurant,Food,8.7,Clear,10373,365
40.7778901257941 -73.9821965827883,1026,Saturday,AT&T,Mobile Phone Shop,Shop & Service,6.5,Clear,10373,365
40.7722274447236 -73.9830287606413,1369,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10373,365
40.8099115228134 -74.0678501129150,352,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10373,365
40.7742150000000 -73.9811760000000,403,Sunday,Starbucks,Coffee Shop,Food,-1.0,Clear,10373,365
40.7729603860463 -73.9815480554801,410,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10373,365
40.7765278976882 -73.9794073259115,953,Sunday,Lansky's Deli,Diner,Food,-1.0,Clear,10373,365
40.7798980033668 -73.9815021419594,1009,Sunday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10373,365
40.7722274447236 -73.9830287606413,48,Monday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10375,365
40.8099115228134 -74.0678501129150,697,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10375,365
40.7722274447236 -73.9830287606413,917,Monday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10375,365
40.7729603860463 -73.9815480554801,924,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10375,365
40.8099115228134 -74.0678501129150,696,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10375,365
40.7729603860463 -73.9815480554801,925,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10375,365
40.7818560000000 -73.9792270000000,1163,Tuesday,Chirping Chicken,Comfort Food Restaurant,Food,7.8,Clouds,10375,365
40.8099115228134 -74.0678501129150,497,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Rain,10375,365
40.7701678499297 -73.9844463242704,558,Wednesday,Fordham University - Lincoln Center,University,College & University,-1.0,Rain,10375,365
40.7783098167083 -73.9781389467442,1190,Wednesday,Tenzan,Japanese Restaurant,Food,7.6,Clouds,10375,365
40.7722274447236 -73.9830287606413,49,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10375,365
40.7692250000000 -73.9861540000000,862,Friday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clouds,10375,365
40.7722274447236 -73.9830287606413,1321,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10375,365
40.8099115228134 -74.0678501129150,681,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10375,365
40.7765278976882 -73.9794073259115,793,Saturday,Lansky's Deli,Diner,Food,-1.0,Clear,10375,365
40.7692250000000 -73.9861540000000,930,Saturday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clear,10375,365
40.7805688922377 -73.9764745451004,1083,Saturday,Isabella's,Mediterranean Restaurant,Food,-1.0,Clear,10375,365
40.7798980033668 -73.9815021419594,1200,Saturday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10375,365
40.7722819044156 -73.9831148477997,1280,Saturday,L'Arte Del Gelato,Ice Cream Shop,Food,7.1,Clear,10375,365
40.8099115228134 -74.0678501129150,637,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10375,365
40.7711420000000 -73.9834640000000,703,Sunday,Rosa Mexicano,Mexican Restaurant,Food,8.7,Clear,10375,365
40.7726941900032 -73.9820645818322,787,Sunday,Bed Bath & Beyond,Furniture / Home Store,Shop & Service,7.7,Clear,10375,365
40.7729603860463 -73.9815480554801,922,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10375,365
40.7774590000000 -73.9788340000000,1169,Sunday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Clear,10375,365
40.7722274447236 -73.9830287606413,40,Monday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10376,365
40.8099115228134 -74.0678501129150,727,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10376,365
40.7765278976882 -73.9794073259115,774,Monday,Lansky's Deli,Diner,Food,-1.0,Clouds,10376,365
40.7729603860463 -73.9815480554801,922,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10376,365
40.7778375605658 -73.9818694498179,1167,Monday,Tasty Cafe,Coffee,Food,6.9,Rain,10376,365
40.7722274447236 -73.9830287606413,21,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Rain,10376,365
40.8099115228134 -74.0678501129150,551,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10376,365
40.7729603860463 -73.9815480554801,917,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Rain,10376,365
40.7722274447236 -73.9830287606413,46,Wednesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10376,365
40.8099115228134 -74.0678501129150,549,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10376,365
40.7750827819138 -73.9808019594095,1162,Wednesday,Jalapeño,Mexican Restaurant,Food,-1.0,Clear,10376,365
40.8099115228134 -74.0678501129150,637,Thursday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10376,365
40.7729603860463 -73.9815480554801,920,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10376,365
40.7774590000000 -73.9788340000000,1163,Thursday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Clear,10376,365
40.8099115228134 -74.0678501129150,628,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10376,365
40.7696189759854 -73.9847045837241,1018,Friday,St. Paul the Apostle Church,Church,Professional & Other Places,-1.0,Clear,10376,365
40.7687385749291 -73.9818522322777,1124,Friday,Landmarc,American Restaurant,Food,8.3,Clear,10376,365
