BADA MAXIMUM ENDURANCE CRUISE FILE                               Apr 01 2014

Type: PROP
AC: Dummy-TBP
Engine rating: 
Number of tables: 1

Table name: MEC
Table type: 1D
Table variables: CW
Table dimension: 41x1
Table results: Mmec [-]

        CW|      Mmec
=====================
  0.577143|  0.121037
  0.627218|  0.126037
  0.677293|  0.131036
  0.727368|  0.135035
  0.777444|  0.140034
  0.827519|  0.144033
  0.877594|  0.149066
  0.927669|  0.153065
  0.977744|  0.157065
  1.027819|  0.161064
  1.077895|  0.165063
  1.127970|  0.168063
  1.178045|  0.172062
  1.228120|  0.176061
  1.278195|  0.179061
  1.328270|  0.183060
  1.378346|  0.186060
  1.428421|  0.189059
  1.478496|  0.193058
  1.528571|  0.196058
  1.578646|  0.199057
  1.628721|  0.202057
  1.678797|  0.205056
  1.728872|  0.208056
  1.778947|  0.211055
  1.829022|  0.214055
  1.879097|  0.217041
  1.929172|  0.220044
  1.979248|  0.223047
  2.029323|  0.226297
  2.079398|  0.230478
  2.129473|  0.234590
  2.179548|  0.238635
  2.229623|  0.242614
  2.279699|  0.246528
  2.329774|  0.250380
  2.379849|  0.254172
  2.429924|  0.257907
  2.479999|  0.261587
  2.530074|  0.265215
  2.580150|  0.268794


