BADA LONG RANGE CRUISE FILE                                      Apr 01 2014

Type: PROP
AC: Dummy-TBP
Engine rating: 
Number of tables: 1

Table name: LRC
Table type: 1D
Table variables: CW
Table dimension: 21x1
Table results: Mlrc [-]

        CW|      Mlrc
=====================
  0.907484|  0.290779
  0.991117|  0.299251
  1.074750|  0.306493
  1.158384|  0.312899
  1.242017|  0.318715
  1.325650|  0.324102
  1.409283|  0.329171
  1.492917|  0.334004
  1.576550|  0.338660
  1.660183|  0.343185
  1.743817|  0.347618
  1.827450|  0.351988
  1.911083|  0.356321
  1.994717|  0.360639
  2.078350|  0.364962
  2.161983|  0.369307
  2.245616|  0.373692
  2.329250|  0.378132
  2.412883|  0.382642
  2.496516|  0.387237
  2.580150|  0.391933


