space,time,day,poi,type,root_type,rating,weather,tid,label
40.7532399164642 -73.9740869644941,1017,Tuesday,A Cafe @ lex and 45th,Salad Place,Food,-1.0,Clear,2277,84
40.7527518611088 -73.9730538675497,1055,Tuesday,The Perfect Pint,Pub,Nightlife Spot,6.7,Clear,2277,84
40.7527410080238 -73.9733079722472,1204,Tuesday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clear,2277,84
40.7522605430590 -73.9752692797474,1251,Tuesday,AT&T,Mobile Phone Shop,Shop & Service,6.3,Clouds,2277,84
40.7516329998705 -73.9758854995058,1252,Tuesday,MTA Subway - 42nd St/Grand Central (4/5/6/7/S),Metro Station,Travel & Transport,-1.0,Clouds,2277,84
40.6728267553209 -73.9908599853515,1291,Tuesday,MTA Subway - F Train,Train,Travel & Transport,-1.0,Clouds,2277,84
40.6757879516210 -73.9958151502776,373,Wednesday,Where Good Intentions Go To Die,Other Nightlife,Nightlife Spot,-1.0,Clouds,2277,84
40.7530925960020 -73.9735876349967,374,Wednesday,Convene at 730 Third Avenue,Office,Professional & Other Places,-1.0,Clouds,2277,84
40.7528567554950 -73.9736737263818,374,Wednesday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clouds,2277,84
40.7531259619306 -73.9737942542562,375,Wednesday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clouds,2277,84
40.7530716014474 -73.9734671069929,376,Wednesday,27th Floor Vip,Meeting Room,Professional & Other Places,-1.0,Clouds,2277,84
40.7531578420990 -73.9739320003060,649,Wednesday,TIAA-CREF,Office,Professional & Other Places,-1.0,Clear,2277,84
40.7528567554950 -73.9736737263818,651,Wednesday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clear,2277,84
40.7527518611088 -73.9730538675497,653,Wednesday,The Perfect Pint,Pub,Nightlife Spot,6.7,Clear,2277,84
40.7532450000000 -73.9733970000000,655,Wednesday,MDTF office,Office,Professional & Other Places,-1.0,Clear,2277,84
40.7532306657495 -73.9735646772875,852,Wednesday,Kinneys park,Parking,Professional & Other Places,-1.0,Clear,2277,84
40.7527518611088 -73.9730538675497,870,Wednesday,The Perfect Pint,Pub,Nightlife Spot,6.7,Clear,2277,84
40.7527229250000 -73.9735428000000,870,Wednesday,Midtown News,Smoke Shop,Shop & Service,-1.0,Clear,2277,84
40.7527410080238 -73.9733079722472,945,Wednesday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clear,2277,84
40.8674760000000 -73.9242910000000,972,Saturday,Birdman's Coop,Rock Club,Arts & Entertainment,-1.0,Clear,2277,84
40.8754149493577 -73.9134405573873,973,Saturday,Promenade Apts,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2277,84
40.8632280000000 -73.9257390000000,1047,Saturday,Pizza Nova,Pizza Place,Food,-1.0,Clear,2277,84
40.8675475097351 -73.9244059608629,1048,Saturday,Fidel's Gourmet Deli,Deli / Bodega,Food,7.3,Clear,2277,84
40.8632280000000 -73.9257390000000,1232,Saturday,Pizza Nova,Pizza Place,Food,-1.0,Clear,2277,84
40.8673145836480 -73.9224100112915,1233,Saturday,PJ Wine,Wine Shop,Shop & Service,9.3,Clear,2277,84
40.8675264777778 -73.9244000000000,1336,Saturday,Paolopalooza,Arcade,Arts & Entertainment,-1.0,Clouds,2277,84
40.8641090589707 -73.9267252653688,1406,Saturday,CON ED,Building,Professional & Other Places,-1.0,Clouds,2277,84
40.8674814030681 -73.9242854021982,1406,Saturday,Dyckman Farmhouse Museum,History Museum,Arts & Entertainment,6.8,Clouds,2277,84
40.8677202541029 -73.9207363128662,1428,Saturday,Piper's Kilt,Restaurant,Food,-1.0,Clouds,2277,84
40.8675348028546 -73.9243485519843,290,Sunday,578 Academy Street,Professional & Other Places,Professional & Other Places,-1.0,Clear,2277,84
