Systematic_name,Standard_name,Uniprot_id
YBR044C,TCM62,P38228
YBR045C,GIP1,P38229
YBR046C,ZTA1,P38230
YBR047W,FMP23,P38231
YBR048W,RPS11B,P0CX48
YBR049C,REB1,P21538
YBR050C,REG2,P38232
YBR051W,,P38233
YBR052C,RFS1,P38234
YBR053C,,P38235
YBR054W,YRO2,P38079
YBR055C,PRP6,P19735
YBR056W,,P38081
YBR057C,MUM2,P38236
YBR058C,UBP14,P38237
YBR059C,AKL1,P38080
YBR060C,ORC2,P32833
YBR061C,TRM7,P38238
YBR062C,,P38239
YBR063C,,P38083
YBR064W,,P38240
YBR065C,ECM2,P38241
YBR066C,NRG2,P38082
YBR067C,TIP1,P27654
YBR068C,BAP2,P38084
YBR069C,TAT1,P38085
YBR070C,ALG14,P38242
YBR071W,,P38243
YBR072W,HSP26,P15992
YBR073W,RDH54,P38086
YBR074W,PFF1,P38244
YBR076W,ECM8,P38246
YBR077C,SLM4,P38247
YBR078W,ECM33,P38248
YBR079C,RPG1,P38249
YBR080C,SEC18,P18759
YBR081C,SPT7,P35177
YBR082C,UBC4,P15731
YBR083W,TEC1,P18412
YBR084W,MIS1,P09440
YBR085W,AAC3,P18238
YBR086C,IST2,P38250
YBR087W,RFC5,P38251
YBR088C,POL30,P15873
YBR089W,,P38252
YBR090C,,P38253
YBR091C,TIM12,P32830
YBR092C,PHO3,P24031
YBR093C,PHO5,P00635
YBR094W,PBY1,P38254
YBR095C,RXT2,P38255
YBR096W,,P38256
YBR097W,VPS15,P22219
YBR098W,MMS4,P38257
YBR099C,,P38258
YBR101C,FES1,P38260
YBR102C,EXO84,P38261
YBR103W,SIF2,P38262
YBR104W,YMC2,P38087
YBR105C,VID24,P38263
YBR106W,PHO88,P38264
YBR107C,IML3,P38265
YBR108W,AIM3,P38266
YBR109C,CMD1,P06787
YBR110W,ALG1,P16661
YBR111C,YSA1,Q01976
YBR112C,CYC8,P14922
YBR113W,,P38267
YBR114W,RAD16,P31244
YBR115C,LYS2,P07702
YBR116C,,P38268
YBR117C,TKL2,P33315
YBR118W,TEF2,P02994
YBR119W,MUD1,P32605
YBR120C,CBP6,P07253
YBR121C,GRS1,P38088
YBR122C,MRPL36,P36531
YBR123C,TFC1,P32367
YBR124W,,P38269
YBR125C,PTC4,P38089
YBR126C,TPS1,Q00764
YBR127C,VMA2,P16140
YBR128C,ATG14,P38270
YBR129C,OPY1,P38271
YBR130C,SHE3,P38272
YBR131W,CCZ1,P38273
YBR132C,AGP2,P38090
YBR133C,HSL7,P38274
YBR134W,,P38275
YBR135W,CKS1,P20486
YBR136W,MEC1,P38111
YBR137W,,P38276
YBR138C,,P38277
YBR139W,,P38109
YBR140C,IRA1,P18963
YBR141C,BMT2,P38278
YBR142W,MAK5,P38112
YBR143C,SUP45,P12385
YBR144C,,P34215
YBR145W,ADH5,P38113
YBR146W,MRPS9,P38120
YBR147W,RTC2,P38279
YBR148W,YSW1,P38280
YBR149W,ARA1,P38115
YBR150C,TBS1,P38114
YBR151W,APD1,P38281
YBR152W,SPP381,P38282
YBR153W,RIB7,P33312
YBR154C,RPB5,P20434
YBR155W,CNS1,P33313
YBR156C,SLI15,P38283
YBR157C,ICS2,P38284
YBR158W,AMN1,P38285
YBR159W,IFA38,P38286
YBR160W,CDC28,P00546
YBR161W,CSH1,P38287
YBR162C,TOS1,P38288
YBR163W,EXO5,P38289
YBR164C,ARL1,P38116
YBR165W,UBS1,P38290
YBR166C,TYR1,P20049
YBR167C,POP7,P38291
YBR168W,PEX32,P38292
YBR169C,SSE2,P32590
YBR170C,NPL4,P33755
YBR171W,SEC66,P33754
YBR172C,SMY2,P32909
YBR173C,UMP1,P38293
YBR174C,,P38294
YBR175W,SWD3,P38123
YBR176W,ECM31,P38122
YBR177C,EHT1,P38295
YBR178W,,P38296
YBR179C,FZO1,P38297
YBR180W,DTR1,P38125
YBR181C,RPS6B,P0CX38
YBR182C,SMP1,P38128
YBR183W,YPC1,P38298
YBR184W,,P38299
YBR185C,MBA1,P38300
YBR186W,PCH2,P38126
YBR187W,GDT1,P38301
YBR188C,NTC20,P38302
YBR189W,RPS9B,P05755
YBR190W,,P38303
YBR191W,RPL21A,Q02753
YBR192W,RIM2,P38127
YBR193C,MED8,P38304
YBR194W,AIM4,P38305
YBR195C,MSI1,P13712
YBR196C,PGI1,P12709
YBR197C,,P38306
YBR198C,TAF5,P38129
YBR199W,KTR4,P38131
YBR200W,BEM1,P29366
YBR201W,DER1,P38307
YBR202W,MCM7,P38132
YBR203W,COS111,P38308
YBR204C,LDH1,P38139
YBR205W,KTR3,P38130
YBR206W,,P38309
YBR207W,FTH1,P38310
YBR208C,"DUR1,2",P32528
YBR209W,,P38311
YBR210W,ERV15,P38312
YBR211C,AME1,P38313
YBR212W,NGR1,P32831
YBR213W,MET8,P15807
YBR214W,SDS24,P38314
YBR215W,HPC2,Q01448
YBR216C,YBP1,P38315
YBR217W,ATG12,P38316
YBR218C,PYC2,P32327
YBR219C,,P38317
YBR220C,,P38318
YBR221C,PDB1,P32473
YBR222C,PCS60,P38137
YBR223C,TDP1,P38319
YBR224W,,P38320
YBR225W,,P38321
YBR226C,,P38322
YBR227C,MCX1,P38323
YBR228W,SLX1,P38324
YBR229C,ROT2,P38138
YBR230C,OM14,P38325
YBR231C,SWC5,P38326
YBR232C,,P38327
YBR233W,PBP2,P69850
YBR234C,ARC40,P38328
YBR235W,VHC1,P38329
YBR236C,ABD1,P32783
YBR237W,PRP5,P21372
YBR238C,,P38330
YBR239C,ERT1,P38140
YBR240C,THI2,P38141
YBR241C,,P38142
YBR242W,,P38331
YBR243C,ALG7,P07286
YBR244W,GPX2,P38143
YBR245C,ISW1,P38144
YBR246W,RRT2,P38332
YBR247C,ENP1,P38333
YBR248C,HIS7,P33734
YBR249C,ARO4,P32449
YBR250W,SPO23,P33757
YBR251W,MRPS5,P33759
YBR252W,DUT1,P33317
YBR253W,SRB6,P32570
YBR254C,TRS20,P38334
YBR255W,MTC4,P38335
YBR256C,RIB5,P38145
YBR257W,POP4,P38336
YBR258C,SHG1,P38337
YBR259W,,P38338
YBR260C,RGD1,P38339
YBR261C,TAE1,P38340
YBR262C,MIC12,P38341
YBR263W,SHM1,P37292
YBR264C,YPT10,P38146
YBR265W,TSC10,P38342
YBR266C,SLM6,P38343
YBR267W,REI1,P38344
YBR268W,MRPL37,P36532
YBR269C,SDH8,P38345
YBR270C,BIT2,P38346
YBR271W,EFM2,P38347
YBR272C,HSM3,P38348
YBR273C,UBX7,P38349
YBR274W,CHK1,P38147
YBR275C,RIF1,P29539
YBR276C,PPS1,P38148
YBR277C,,P38350
YBR278W,DPB3,P27344
YBR279W,PAF1,P38351
YBR280C,SAF1,P38352
YBR281C,DUG2,P38149
YBR282W,MRPL27,P36526
YBR283C,SSH1,P38353
YBR284W,,P38150
YBR285W,,P38354
YBR286W,APE3,P37302
YBR287W,,P38355
YBR288C,APM3,P38153
YBR289W,SNF5,P18480
YBR290W,BSD2,P38356
YBR291C,CTP1,P38152
YBR292C,,P38357
YBR293W,VBA2,P38358
YBR294W,SUL1,P38359
YBR295W,PCA1,P38360
YBR296C,PHO89,P38361
YBR297W,MAL33,P38157
YBR298C,MAL31,P38156
YBR299W,MAL32,P38158
YBR300C,,P38362
YBR301W,PAU24,P38155
YBR302C,COS2,P0CX12
YCL001W,RER1,P25560
YCL002C,,P25565
YCL004W,PGS1,P25578
YCL005W,LDB16,P25587
YCL007C,,P25603
YCL008C,STP22,P25604
YCL009C,ILV6,P25605
YCL010C,SGF29,P25554
YCL011C,GBP2,P25555
YCL014W,BUD3,P25558
YCL016C,DCC1,P25559
YCL017C,NFS1,P25374
YCL018W,LEU2,P04173
YCL022C,,P25562
YCL023C,,P25563
YCL024W,KCC4,P25389
YCL025C,AGP1,P25376
YCL027W,FUS1,P11710
YCL028W,RNQ1,P25367
YCL029C,BIK1,P11709
YCL030C,HIS4,P00815
YCL031C,RRP7,P25368
YCL032W,STE50,P25344
YCL033C,MXR2,P25566
YCL034W,LSB5,P25369
YCL035C,GRX1,P25373
YCL036W,GFD2,P25370
YCL037C,SRO9,P25567
YCL038C,ATG22,P25568
YCL039W,GID7,P25569
YCL040W,GLK1,P17709
YCL041C,,P25571
YCL042W,,P25572
YCL043C,PDI1,P17967
YCL044C,MGR1,P25573
YCL045C,EMC1,P25574
YCL046W,,P12904
YCL047C,POF1,P25576
YCL048W,SPS22,P25380
YCL049C,,P25577
YCL050C,APA1,P16550
YCL051W,LRE1,P25579
YCL052C,PBN1,P25580
YCL054W,SPB1,P25582
YCL055W,KAR4,P25583
YCL056C,PEX34,P25584
YCL057W,PRD1,P25375
YCL058C,FYV5,P25585
YCL059C,KRR1,P25586
YCL061C,MRC1,P25588
YCL063W,VAC17,P25591
YCL064C,CHA1,P25379
YCL065W,,P37264
YCL066W,HMLALPHA1,P0CY07
YCL067C,HMLALPHA2,P0CY09
YCL068C,,P25593
YCL069W,VBA3,P25594
YCL073C,GEX1,P25596
YCL076W,,P25602
YCL026C-A,FRM2,P37261
YCR001W,,P25347
YCR002C,CDC10,P25342
YCR003W,MRPL32,P25348
YCR004C,YCP4,P25349
YCR005C,CIT2,P08679
YCR006C,,P25350
YCR007C,,P25354
YCR008W,SAT4,P25333
YCR009C,RVS161,P25343
YCR010C,ADY2,P25613
YCR011C,ADP1,P25371
YCR012W,PGK1,P00560
YCR013C,,P25614
YCR014C,POL4,P25615
YCR015C,CTO1,P25616
YCR016W,,P25617
YCR017C,CWH43,P25618
YCR018C,SRD1,P09007
YCR019W,MAK32,P23060
YCR020C,PET18,P23059
YCR020C-A,MAK31,P23059
YCR021C,HSP30,P25619
YCR022C,,P25620
YCR023C,,P25351
YCR024C,SLM5,P32903
YCR024C-A,PMP1,P32903
YCR025C,,P25352
YCR026C,NPP1,P25353
YCR027C,RHB1,P25378
YCR028C,FEN2,P25621
YCR030C,SYP1,P25623
YCR031C,RPS14A,P06367
YCR032W,BPH1,P25356
YCR033W,SNT1,P25357
YCR034W,ELO2,P25358
YCR035C,RRP43,P25359
YCR036W,RBK1,P25332
YCR037C,PHO87,P25360
YCR038C,BUD5,P25300
YCR039C,MATALPHA2,P0CY08
YCR040W,MATALPHA1,P0CY06
YCR041W,,P37265
YCR042C,TAF2,P23255
YCR043C,,P25361
YCR044C,PER1,P25625
YCR045C,RRT12,P25381
YCR046C,IMG1,P25626
YCR047C,BUD23,P25627
YCR048W,ARE1,P25628
YCR049C,,P25629
YCR050C,,P25630
YCR051W,,P25631
YCR052W,RSC6,P25632
YCR053W,THR4,P16120
YCR054C,CTR86,P25355
YCR057C,PWP2,P25635
YCR059C,YIH1,P25637
YCR060W,TAH1,P25638
YCR061W,,P25639
YCR063W,BUD31,P25337
YCR064C,,P25640
YCR065W,HCM1,P25364
YCR066W,RAD18,P10862
YCR067C,SED4,P25365
YCR068W,ATG15,P25641
YCR069W,CPR4,P25334
YCR071C,IMG2,P25642
YCR072C,RSA4,P25382
YCR073C,SSK22,P25390
YCR075C,ERS1,P17261
YCR076C,FUB1,P25659
YCR077C,PAT1,P25644
YCR081W,SRB8,P25648
YCR082W,AHC2,P25649
YCR083W,TRX3,P25372
YCR084C,TUP1,P16649
YCR085W,,P25650
YCR086W,CSM1,P25651
YCR087W,,P25652
YCR088W,ABP1,P15891
YCR089W,FIG2,P25653
YCR090C,,P25654
YCR091W,KIN82,P25341
YCR092C,MSH3,P25336
YCR093W,CDC39,P25655
YCR094W,CDC50,P25656
YCR095C,OCA4,P25366
YCR096C,HMRA2,P0CY13
YCR097W,HMRA1,P0CY11
YCR098C,GIT1,P25346
YCR099C,,P25657
YCR100C,,P25606
YCR101C,,P25607
YCR102C,,P25608
YCR104W,PAU3,P25610
YCR105W,ADH7,P25377
YCR106W,RDS1,P25611
YCR107W,AAD3,P25612
YCR073W-A,SOL2,P37262
YEL001C,IRC22,P40006
YEL002C,WBP1,P33767
YEL003W,GIM4,P40005
YEL004W,YEA4,P40004
YEL005C,VAB2,P40003
YEL006W,YEA6,P39953
YEL007W,MIT1,P40002
YEL008W,,P40001
YEL009C,GCN4,P03069
YEL010W,,P40000
YEL011W,GLC3,P32775
YEL012W,UBC8,P28263
YEL013W,VAC8,P39968
YEL014C,,P39999
YEL015W,EDC3,P39998
YEL016C,NPP2,P39997
YEL017W,GTT3,P39996
YEL018W,EAF5,P39995
YEL019C,MMS21,P38632
YEL020C,PXP1,P39994
YEL021W,URA3,P03962
YEL022W,GEA2,P39993
YEL023C,,P39992
YEL024W,RIP1,P08067
YEL025C,,P39991
YEL026W,SNU13,P39990
YEL027W,VMA3,P25515
YEL028W,,P39989
YEL029C,BUD16,P39988
YEL030W,ECM10,P39987
YEL031W,SPF1,P39986
YEL032W,MCM3,P24279
YEL033W,MTC7,P32633
YEL034W,HYP2,P23301
YEL035C,UTR5,P32630
YEL036C,ANP1,P32629
YEL037C,RAD23,P32628
YEL038W,UTR4,P32626
YEL039C,CYC7,P00045
YEL040W,UTR2,P32623
YEL041W,YEF1,P32622
YEL042W,GDA1,P32621
YEL043W,,P32618
YEL044W,IES6,P32617
YEL045C,,P32616
YEL046C,GLY1,P37303
YEL047C,FRD1,P32614
YEL048C,TCA17,P32613
YEL049W,PAU2,P32612
YEL050C,RML2,P32611
YEL051W,VMA8,P32610
YEL052W,AFG1,P32317
YEL053C,MAK10,Q02197
YEL054C,RPL12A,P0CX53
YEL055C,POL5,P39985
YEL056W,HAT2,P39984
YEL057C,SDD1,P39983
YEL058W,PCM1,P38628
YEL059W,HHY1,P39982
YEL060C,PRB1,P09232
YEL061C,CIN8,P27895
YEL062W,NPR2,P39923
YEL063C,CAN1,P04817
YEL064C,AVT2,P39981
YEL065W,SIT1,P39980
YEL066W,HPA3,P39979
YEL067C,,P39978
YEL068C,,P39977
YEL069C,HXT13,P39924
YEL070W,DSF1,P0CX08
YEL071W,DLD3,P39976
YEL072W,RMD6,P39975
YEL073C,,P39974
YEL074W,,P39973
YEL075C,,P39972
YEL076C,,P39971
YER001W,MNN1,P39106
YER002W,NOP16,P40007
YER003C,PMI40,P29952
YER004W,FMP52,P40008
YER005W,YND1,P40009
YER006W,NUG1,P40010
YER007W,PAC2,P39937
YER008C,SEC3,P33332
YER009W,NTF2,P33331
YER010C,,P40011
YER011W,TIR1,P10863
YER012W,PRE1,P22141
YER013W,PRP22,P24384
YER014W,HEM14,P40012
YER015W,FAA2,P39518
YER016W,BIM1,P40013
YER017C,AFG3,P39925
YER018C,SPC25,P40014
YER019W,ISC1,P40015
YER020W,GPA2,P10823
YER021W,RPN3,P40016
YER022W,SRB4,P32569
YER023W,PRO3,P32263
YER024W,YAT2,P40017
YER025W,GCD11,P32481
YER026C,CHO1,P08456
YER027C,GAL83,Q04739
YER028C,MIG3,P39943
YER029C,SMB1,P40018
YER030W,CHZ1,P40019
YER031C,YPT31,P38555
YER032W,FIR1,P40020
YER033C,ZRG8,P40021
YER034W,,P40022
YER035W,EDC2,P40023
YER036C,ARB1,P40024
YER037W,PHM8,P40025
YER038C,KRE29,P40026
YER039C,HVG1,P0CE11
YER040W,GLN3,P18494
YER041W,YEN1,P40028
YER042W,MXR1,P40029
YER043C,SAH1,P39954
YER044C,ERG28,P40030
YER045C,ACA1,P39970
YER046W,SPO73,P40031
YER047C,SAP1,P39955
YER048C,CAJ1,P39101
YER049W,TPA1,P40032
YER050C,RSM18,P40033
YER051W,JHD1,P40034
YER052C,HOM3,P10869
YER053C,PIC2,P40035
YER054C,GIP2,P40036
YER055C,HIS1,P00498
YER056C,FCY2,P17064
YER057C,HMF1,P40037
YER058W,PET117,Q02771
YER059W,PCL6,P40038
YER060W,FCY21,P40039
YER061C,CEM1,P39525
YER062C,GPP2,P40106
YER063W,THO1,P40040
YER064C,VHR2,P40041
YER065C,ICL1,P28240
YER066W,RRT13,P40042
YER067W,RGI1,P40043
YER068W,MOT2,P34909
YER069W,"ARG5,6",Q01217
YER070W,RNR1,P21524
YER071C,TDA2,P40045
YER072W,VTC1,P40046
YER073W,ALD5,P40047
YER074W,RPS24A,P0CX31
YER075C,PTP3,P40048
YER076C,,P40049
YER077C,MRX1,P40050
YER078C,ICP55,P40051
YER079W,,P40052
YER080W,AIM9,P40053
YER081W,SER3,P40054
YER082C,UTP7,P40055
YER083C,GET2,P40056
YER084W,,P40057
YER085C,,P40058
YER086W,ILV1,P00927
YER087W,AIM10,P39965
YER088C,DOT6,P40059
YER089C,PTC2,P39966
YER090W,TRP2,P00899
YER091C,MET6,P05694
YER092W,IES5,P40060
YER093C,TSC11,P40061
YER094C,PUP3,P25451
YER095W,RAD51,P25454
YER096W,SHC1,P39000
YER097W,,P33302
YER098W,UBP9,P39967
YER099C,PRS2,P38620
YER100W,UBC6,P33296
YER101C,AST2,P39945
YER102W,RPS8B,P0CX40
YER103W,SSA4,P22202
YER104W,RTT105,P40063
YER105C,NUP157,P40064
YER106W,MAM1,P40065
YER107C,GLE2,P40066
YER110C,KAP123,P40069
YER111C,SWI4,P25302
YER112W,LSM4,P40070
YER113C,TMN3,P40071
YER114C,BOI2,P39969
YER115C,SPR6,Q01684
YER116C,SLX8,P40072
YER117W,RPL23B,P0CX42
YER118C,SHO1,P40073
YER119C,AVT6,P40074
YER120W,SCS2,P40075
YER121W,,P40076
YER122C,GLO3,P38682
YER123W,YCK3,P39962
YER124C,DSE1,P40077
YER125W,RSP5,P39940
YER126C,NSA2,P40078
YER127W,LCP5,P40079
YER128W,VFA1,P40080
YER129W,SAK1,P38990
YER130C,COM2,P39959
YER131W,RPS26B,P39939
YER132C,PMD1,P32634
YER133W,GLC7,P32598
YER134C,,P40081
YER135C,,P40082
YER136W,GDI1,P39958
YER137C,,P0CX71
YER139C,RTR1,P40084
YER140W,EMP65,P40085
YER141W,COX15,P40086
YER142C,MAG1,P22134
YER143W,DDI1,P40087
YER144C,UBP5,P39944
YER145C,FTR1,P40088
YER146W,LSM5,P40089
YER147C,SCC4,P40090
YER148W,SPT15,P13393
YER149C,PEA2,P40091
YER150W,SPI1,P40092
YER151C,UBP3,Q01477
YER152C,,P10356
YER153C,PET122,P10355
YER154W,OXA1,P39952
YER155C,BEM2,P39960
YER156C,,P40093
YER157W,COG3,P40094
YER158C,,P40095
YER159C,BUR6,P40096
YER161C,SPT2,P06843
YER162C,RAD4,P14736
YER163C,GCG1,P32656
YER164W,CHD1,P32657
YER165W,PAB1,P04147
YER166W,DNF1,P32660
YER167W,BCK2,P33306
YER168C,CCA1,P21269
YER169W,RPH1,P39956
YER170W,ADK2,P26364
YER171W,RAD3,P06839
YER172C,BRR2,P32639
YER173W,RAD24,P32641
YER174C,GRX4,P32642
YER175C,TMT1,P32643
YER176W,ECM32,P32644
YER177W,BMH1,P29311
YER178W,PDA1,P16387
YER179W,DMC1,P25453
YER180C,ISC10,Q3E784
YER181C,,P40097
YER182W,FMP10,P40098
YER183C,FAU1,P40099
YER184C,TOG1,P39961
YER185W,PUG1,P40100
YER186C,,P40101
YER187W,,P40102
YER188W,,P40103
YER189W,,P40104
YER190W,YRF1-2,P40105
YHL001W,RPL14B,P38754
YHL002W,HSE1,P38753
YHL003C,LAG1,P38703
YHL004W,MRP4,P32902
YHL005C,,P38752
YHL006C,SHU1,P38751
YHL007C,STE20,Q03497
YHL008C,,P38750
YHL009C,YAP3,P38749
YHL010C,ETP1,P38748
YHL011C,PRS3,P38689
YHL012W,,P38709
YHL013C,OTU2,P38747
YHL014C,YLF2,P38746
YHL015W,RPS20,P38701
YHL016C,DUR3,P33413
YHL017W,,P38745
YHL018W,,P38744
YHL019C,APM2,P38700
YHL020C,OPI1,P21957
YHL021C,AIM17,P23180
YHL022C,SPO11,P23179
YHL023C,NPR3,P38742
YHL024W,RIM4,P38741
YHL025W,SNF6,P18888
YHL026C,,P38740
YHL027W,RIM101,P33400
YHL028W,WSC4,P38739
YHL029C,OCA5,P38738
YHL030W,ECM29,P38737
YHL031C,GOS1,P38736
YHL032C,GUT1,P32190
YHL033C,RPL8A,P17076
YHL034C,SBP1,P10080
YHL035C,VMR1,P38735
YHL036W,MUP3,P38734
YHL037C,,P38733
YHL038C,CBP2,P03874
YHL039W,EFM1,P38732
YHL040C,ARN1,P38731
YHL041W,,P38730
YHL042W,,P38729
YHL043W,ECM34,P38728
YHL044W,,P38727
YHL045W,,P38726
YHL046C,PAU13,P38725
YHL047C,ARN2,P38724
YHL048W,COS8,P38723
YHL049C,,P38722
YHL050C,,P38721
YHR001W,OSH7,P38755
YHR002W,LEU5,P38702
YHR003C,TCD1,P38756
YHR004C,NEM1,P38757
YHR005C,GPA1,P08539
YHR006W,STP2,P38704
YHR007C,ERG11,P10614
YHR008C,SOD2,P00447
YHR009C,TDA3,P38758
YHR010W,RPL27A,P0C2H6
YHR011W,DIA4,P38705
YHR012W,VPS29,P38759
YHR013C,ARD1,P07347
YHR014W,SPO13,P23624
YHR015W,MIP6,P38760
